id,url,visibility,opacity,title,itemId,type,layerType,visibleFolders
AirNow24Hr_2036,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/AirNow24HrCombined/FeatureServer/0,False,0.75,Ozone and PM (PM2.5 and PM10),e759153245c34ac1801890b005c2e46a,,ArcGISFeatureLayer,
AirNow24Hr_3589_8427,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/AirNowLatestContoursOzone/FeatureServer/0,False,0.75,Ozone - Current,,,ArcGISFeatureLayer,
AirNow24Hr_9830_8759,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/AirNowLatestContoursPM25/FeatureServer/0,False,0.75,PM2.5 - Current,,,ArcGISFeatureLayer,
AirNow24Hr_2036_6006,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/AirNowLatestContoursCombined/FeatureServer/0,True,0.75,Ozone and PM (PM2.5 and PM10) - Current,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484_3792_3356_999,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM10/FeatureServer/0,False,1,PM10 - 24hrs (Large Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484_3792_3356,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM10/FeatureServer/0,False,1,PM10 - 24hrs (Large Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484_3792_1290,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM10/FeatureServer/0,False,1,PM10 - 24hrs (Small Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484_3792,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM10/FeatureServer/0,False,1,PM10 - 24hrs (Small Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484_1937_5000,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM25/FeatureServer/0,False,1,PM2.5 - 24hrs (Large Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484_1937,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM25/FeatureServer/0,False,1,PM2.5 - 24hrs (Large Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484_1018,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM25/FeatureServer/0,False,1,PM2.5 - 24hrs (Small Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_1484,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM25/FeatureServer/0,False,1,PM2.5 - 24hrs (Small Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_932_8716,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM/FeatureServer/0,False,1,PM (PM2.5 and PM10) - 24hrs (Large Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_932,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM/FeatureServer/0,False,1,PM (PM2.5 and PM10) - 24hrs (Large Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_6751,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM/FeatureServer/0,False,1,PM (PM2.5 and PM10) - 24hrs (Small Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_PM/FeatureServer/0,False,1,PM (PM2.5 and PM10) - 24hrs (Small Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_5675_8143_1252,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Monitors_Ozone/FeatureServer/0,False,1,Ozone - 24hrs (Large Scale View) - TempMonitors,,,ArcGISFeatureLayer,
