AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
360610135,New York Dept. of Environmental Conservation,-5,2024-10-24 21:00:00 GMT-5,,,ND,-999,1,,CCNY,Active,1729821600000,628434886,Permanent,-8231864.837130073,4985783.719248152
191770006,Iowa DNR,-6,2024-10-24 20:00:00 GMT-6,41,42,42,42,1,PPB,Lake Sugema,Active,1729821600000,628434891,Permanent,-10242072.64715297,4967207.901811535
290390001,Missouri Department of Natural Resources,-6,2024-10-24 20:00:00 GMT-6,48,42,42,42,1,PPB,El Do Springs,Active,1729821600000,628434892,Permanent,-10467899.373677874,4537268.602996569
482450101,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,,,ND,-999,1,,SETRPC 40 Sabine Pass C640,Active,1729821600000,628434893,Permanent,-10452555.09506693,3467365.4496725826
060012001,San Francisco Bay Area AQMD,-8,2024-10-24 18:00:00 GMT-8,,,ND,-999,1,,Hayward,Active,1729821600000,628434894,Permanent,-13584506.704637522,4530760.68995326
230090102,Maine Dept. of Environmental Protection,-5,2024-10-24 21:00:00 GMT-5,,,ND,-999,1,,Bar Harbor - Cadillac Mtn.,Active,1729821600000,628434895,Permanent,-7595019.27732116,5520025.416147733
840330012007,New Hampshire Dept. of Environmental Services,-5,2024-10-24 21:00:00 GMT-5,,,ND,-999,1,,Laconia Robbie Mills Field,Active,1729821600000,628434899,Permanent,-7959157.688169435,5398829.23172158
171170002,Illinois EPA,-6,2024-10-24 20:00:00 GMT-6,38,32,32,32,1,PPB,NILWOOD,Active,1729821600000,628434901,Permanent,-9997536.676449422,4778569.365494455
484391002,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,35,33,33,33,1,PPB,Ft. Worth Northwest C13,Active,1729821600000,628434905,Permanent,-10837683.463821221,3869557.8235847275
180390007,Indiana Dept. of Environmental Management,-5,2024-10-24 21:00:00 GMT-5,21,23,23,23,1,PPB,Bristol,Active,1729821600000,628434906,Permanent,-9553961.456207503,5118675.118146286
360319991,EPA Office of Atmospheric Protection,-5,2024-10-24 21:00:00 GMT-5,,,ND,-999,1,,Huntington Wildlife,Active,1729821600000,628434910,Permanent,-8262132.606676765,5460800.787342254
000100132,Metro Vancouver,-8,2024-10-24 18:00:00 GMT-8,18,18,18,18,1,PPB,Mahon Park,Active,1729821600000,628434911,Permanent,-13701604.901517367,6329998.687846178
172012001,Illinois EPA,-6,2024-10-24 20:00:00 GMT-6,35,30,30,30,1,PPB,ROCK_LP,Active,1729821600000,628434913,Permanent,-9911675.953200571,5211293.663309469
390250022,Ohio EPA-DAPC,-5,2024-10-24 21:00:00 GMT-5,29,28,28,28,1,PPB,Batavia,Active,1729821600000,628434915,Permanent,-9366878.36525829,4733538.9114629
130510021,Georgia Department of Natural Resources,-5,2024-10-24 21:00:00 GMT-5,,44,44,44,1,,Savannah East President,Active,1729821600000,628434917,Permanent,-9022322.277354952,3772279.4063658593
210910012,Kentucky DEP,-6,2024-10-24 20:00:00 GMT-6,16,21,21,21,1,PPB,LEWISPOR,Active,1729821600000,628434918,Permanent,-9673318.659514016,4570798.024102343
481211032,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,42,43,43,43,1,PPB,Pilot Point C1032,Active,1729821600000,628434920,Permanent,-10791723.319615876,3949945.264195678
040131030,Quality Review and Exchange System for Tribes (QREST),-7,2024-10-24 19:00:00 GMT-7,,42,42,42,1,,Ft McD Yuma Frank-AZ,Active,1729821600000,628434924,Permanent,-12431815.975329805,3979120.6551052406
DK1010001,U.S. Department of State Bangladesh - Dhaka,6,2024-10-25 08:00:00 GMT+6,12,14,14,14,1,PPB,Dhaka,Active,1729821600000,628434927,Permanent,10066021.985658318,2728614.952842488
000053201,Canada-Quebec1,-5,2024-10-24 21:00:00 GMT-5,17,18,18,18,1,PPB,Rés. Faun. Ashuapmushuan - Pémonka,Active,1729821600000,628434932,Permanent,-8097691.454876942,6244086.754832975
060690002,Monterey Bay Unified APCD,-8,2024-10-24 18:00:00 GMT-8,40,38,38,38,1,PPB,Hollister AMS,Active,1729821600000,628434937,Permanent,-13509967.173602344,4417304.664918316
